Start,Name of Conflict
395,1511,Şahkulu rebellion
396,1511,Spanish–Taíno War of San Juan–Borikén
397,1511,Malayan–Portuguese war
398,1512,Bengal Sultanate–Kingdom of Mrauk U War
399,1512,"Fourth Muscovite–Lithuanian War_x000D_
Muscovite–Lithuanian Wars"
400,1512,Spanish conquest of Iberian Navarre
401,1514,Poor Conrad Rebellion
402,1514,György Dózsa Rebellion
403,1514,Battle of Chaldiran
404,1515,Slovene Peasant Revolt
405,1515,Arumer Zwarte Hoop
406,1516,"Ottoman–Mamluk War (1516–17)_x000D_
Part of the Ottoman–Mamluk wars"
407,1516,Texcoco Civil War
408,1516,Trần Cao rebellion
409,1519,Prince of Ning rebellion
410,1519,"Polish–Teutonic War (1519–1521)_x000D_
Polish–Teutonic wars"
411,1519,Spanish conquest of the Aztec Empire
412,1519,Revolt of the Brotherhoods
413,1519,Hildesheim Diocesan Feud
414,1519,Celali rebellions
415,1520,Revolt of the Comuneros
416,1521,First Battle of Tamão
417,1521,"Swedish War of Liberation_x000D_
Part of the Swedish War of Secession"
418,1521,"Italian War of 1521–1526_x000D_
Part of the Italian Wars"
419,1521,Musso War
420,1522,First Civil War (Kazakh Khanate)
421,1522,Knights' Revolt
422,1522,Second Battle of Tamão
423,1522,Siege of Rhodes (1522)
424,1523,Franconian War
425,1524,German Peasants' War
426,1524,Dalecarlian rebellions
427,1525,Amicable Grant Revolt
428,1526,"War of the League of Cognac_x000D_
Part of the Italian Wars"
429,1526,Battle of Mohács
430,1527,Sinhalese–Portuguese War
431,1527,Spanish conquest of Yucatán
432,1527,"Hungarian campaign of 1527–1528_x000D_
Part of the Ottoman–Habsburg wars"
433,1529,Ethiopian–Adal war
434,1529,Westrogothian rebellion
435,1529,First War of Kappel
436,1529,Suleiman I's campaign of 1529
437,1529,Siege of Vienna
438,1529,Inca Civil War
439,1530,"Little War in Hungary_x000D_
Part of the Ottoman–Habsburg wars"
440,1531,Second War of Kappel
441,1532,Spanish conquest of the Inca Empire
442,1532,"Ottoman–Safavid War (1532–1555)_x000D_
Part of the Ottoman–Persian wars"
443,1533,"Yaqui Wars_x000D_
Part of the Mexican Indian Wars and the American Indian Wars"
444,1533,Lê–Mạc War
445,1534,Silken Thomas rebellion
446,1534,Münster rebellion
447,1534,Count's Feud
448,1534,"Fifth Muscovite–Lithuanian War_x000D_
Part of the Muscovite–Lithuanian Wars"
449,1534,Toungoo–Hanthawaddy War
450,1534,Iguape War
451,1536,Pilgrimage of Grace
452,1536,Italian War of 1536–1538
453,1537,Bigod's rebellion
454,1537,Conquistador Civil War in Peru
455,1538,Yemeni Expedition of 1538 Part of the Yemeni–Ottoman conflicts
456,1538,Toungoo–Ava War
457,1538,Ottoman–Portuguese conflicts (1538–1559)
458,1539,Revolt of Ghent (1539–1540)
459,1540,Peasant's Rebellion in Telemark
460,1540,Mixtón War
461,1542,Dacke War
462,1542,"Italian War of 1542–1546_x000D_
Part of the Italian Wars"
463,1542,"Rough Wooing _x000D_
Part of the Anglo-Scottish Wars"
464,1543,Koch–Ahom conflicts
465,1545,Toungoo–Mrauk-U War
466,1546,Schmalkaldic War
467,1547,Burmese–Siamese War (1547–1549)
468,1547,Jiajing wokou raids
469,1548,Revolt of the Pitauds
470,1549,Prayer Book Rebellion
471,1549,Buckinghamshire and Oxfordshire rising of 1549
472,1549,Kett's Rebellion
473,1550,Chichimeca War
474,1551,Italian War of 1551–1559
475,1552,Second Margrave War
476,1552,Tuggurt Expedition
477,1552,Siege of Kazan
478,1552,Kazan rebellion of 1552–1556
479,1554,Wyatt's rebellion
480,1554,Russo-Swedish War (1554–1557)
481,1555,Saukrieg
482,1555,France Antarctique
483,1557,Ottoman conquest of Habesh
484,1558,Ottoman–Portuguese conflicts (1538–1559)
485,1558,Shane O'Neill's rebellion
486,1558,Livonian War
487,1560,Portuguese conquest of the Jaffna kingdom
488,1562,French Wars of Religion
489,1563,Burmese–Siamese War (1563–1564)
490,1563,Northern Seven Years' War
491,1564,Mariovo and Prilep rebellion
492,1564,Mughal conquest of Garha
493,1567,Philippine revolts against Spain
494,1568,Burmese–Siamese War (1568–1569)
495,1568,Rebellion of the Alpujarras (Morisco Revolt)
496,1568,Marian civil war
497,1568,Eighty Years' War
498,1569,First Desmond Rebellion
499,1569,Rising of the North
500,1570,War of the League of the Indies
501,1570,Ottoman–Venetian War (1570–1573)
502,1570,Ishiyama Hongan-ji War
503,1571,Russo-Crimean War (1571)
504,1572,Mughal invasion of Bengal
505,1573,Croatian–Slovene Peasant Revolt
506,1575,Danzig rebellion
507,1578,Castilian War
508,1578,"Battle of Alcácer Quibir (also known as ""Battle of Three Kings"" or ""The Battle of Alcazar"")"
509,1578,Ottoman–Safavid War (1578–1590)
510,1579,Tenshō Iga War
511,1579,Second Desmond Rebellion
512,1580,War of the Portuguese Succession
513,1580,Ottoman–Portuguese conflicts (1586–1589)
514,1581,Conquest of the Khanate of Sibir
515,1582,Honnō-ji Incident
516,1583,Cologne War
517,1584,Burmese–Siamese War (1584–1593)
518,1585,Anglo-Spanish War (1585–1604)
519,1587,War of the Polish Succession (1587–88)
520,1589,Beylerbeyi event
521,1590,Russo-Swedish War (1590–1595)
522,1591,Portuguese invasion of Jaffna kingdom (1591)
523,1591,Kosiński uprising
524,1591,Rappenkrieg (Basel)
525,1591,Siamese–Cambodian War (1591–1594)
526,1591,Long Turkish War
527,1592,Japanese invasions of Korea
528,1592,Strasbourg Bishops' War
529,1593,Cambodian–Spanish War
530,1593,Moldavian Magnate Wars
531,1594,Nalyvaiko Uprising
532,1594,Burmese–Siamese War (1593–1600)
533,1594,Nine Years' War (Ireland)
534,1596,Himara Revolt
535,1596,Oxfordshire rising of 1596
536,1596,Serb uprising of 1596–1597
537,1596,Cudgel War
538,1598,War against Sigismund
539,1600,Battle of Sekigahara
540,1600,Thessaly rebellion (1600)
541,1600,Franco-Savoyard War (1600–1601)
542,1600,Navajo Wars
543,1600,Polish–Swedish War (1600–1611)
544,1601,Acaxee Rebellion
545,1602,Dutch–Portuguese War
546,1603,Ottoman–Safavid War (1603–1618)
547,1605,Polish–Muscovite War (1605–1618)
548,1606,Bolotnikov rebellion
549,1606,Zebrzydowski rebellion
550,1609,War of the Jülich Succession
551,1609,Beaver Wars
552,1609,Invasion of Ryukyu
553,1610,First Anglo-Powhatan War
554,1610,Ingrian War
555,1611,Epirus revolt of 1611
556,1612,Kalmar War
557,1612,Rappenkrieg
558,1612,Equinoctial France War
559,1613,Burmese–Siamese War (1609–1622)
560,1614,Siege of Osaka
561,1614,Mataram conquest of Surabaya
562,1615,Uskok War
563,1615,Ahom–Mughal conflicts
564,1616,Tepehuán Revolt
565,1617,Polish–Swedish War (1617–1618)
566,1618,"Spanish conquest of Petén_x000D_
Part of the Spanish conquest of Guatemala and the Spanish conquest of Yucatán"
567,1618,Bündner Wirren
568,1618,Thirty Years' War
569,1618,Qing conquest of the Ming
570,1619,Ahom–Mughal conflicts
571,1620,Polish–Ottoman War (1620–1621)
572,1621,Dutch conquest of the Banda Islands
573,1621,Polish–Swedish War (1621–1625)
574,1621,Mughal–Sikh War (1621–35)
575,1622,War of the Vicuñas and Basques
576,1622,Second Anglo-Powhatan War
577,1623,Ottoman–Safavid War (1623–1639)
578,1625,Anglo-Spanish War (1625–1630)
579,1625,Zhmaylo uprising
580,1625,Relief of Genoa
581,1626,Polish–Swedish War (1626–1629)
582,1626,Peasants' War in Upper Austria
583,1627,Later Jin invasion of Joseon
584,1627,Trịnh–Nguyễn War
585,1628,"War of the Mantuan Succession_x000D_
Part of the Thirty Years' War"
586,1630,Fedorovych uprising
587,1630,Yemeni Expedition of the 1630s Part of the Yemeni–Ottoman Conflicts
588,1632,Smolensk War
589,1633,Polish–Ottoman War (1633–1634)
590,1634,Pequot War
591,1635,Sulyma uprising
592,1635,Acadian Civil War
593,1635,Franco-Spanish War (1635–1659)
594,1636,Qing invasion of Joseon
595,1637,Pavlyuk uprising
596,1637,Shimabara Rebellion
597,1638,Ostryanyn uprising
598,1639,Revolt of the va-nu-pieds
599,1639,"First Bishops' War_x000D_
Part of the Wars of the Three Kingdoms"
600,1640,"Second Bishops' War_x000D_
Part of the Wars of the Three Kingdoms"
601,1640,Catalan Revolt
602,1640,Portuguese Restoration War
603,1641,"Irish Confederate Wars_x000D_
Part of the Wars of the Three Kingdoms"
604,1641,First War of Castro
